YearMonth,Aquaculture_Export_Dol,Aquaculture_whlsl_Dol,Capture_Export_Dol,Exchange_Rate
2020-04-01 00:00:00,13.46695556,4.347008226,14.65694444,5.301645431
2020-05-01 00:00:00,13.67717491,3.996642188,13.83333333,5.622143768
2020-06-01 00:00:00,12.63211867,4.480996176,17.75,5.184445728
2020-07-01 00:00:00,12.11492541,4.193398757,13.36278846,5.291763907
2020-08-01 00:00:00,11.28942669,4.362773623,14.6,5.445795264
2020-09-01 00:00:00,12.67071995,4.815683777,15.22048077,5.393781792
2020-10-01 00:00:00,11.56541348,4.164494873,14.15,5.620840918
2020-11-01 00:00:00,13.02476959,4.307845011,14.71397436,5.451847553
2020-12-01 00:00:00,12.58192563,4.688096365,22.33070513,5.153822422
2021-01-01 00:00:00,13.39541607,4.591417656,15.40126827,5.338946524
2021-02-01 00:00:00,11.95744048,5.095618076,9.133333333,5.402634478
2021-03-01 00:00:00,9.528392857,4.578342208,14,5.640774685
2021-04-01 00:00:00,12.31890828,4.470049679,13.55,5.574136409
2021-05-01 00:00:00,12.31082071,4.582506742,17.79432692,5.305891968
2021-06-01 00:00:00,11.6552487,4.680608028,17.30301282,5.035377307
2021-07-01 00:00:00,12.25864413,4.429784768,17.02807692,5.151366407
2021-08-01 00:00:00,12.51096414,4.928520073,16.67314103,5.25287277
2021-09-01 00:00:00,12.98685161,5.289654871,13.67719551,5.262718201
2021-10-01 00:00:00,11.79220189,5.063583313,18.00979167,5.528652327
2021-11-01 00:00:00,13.40284446,4.770113925,15.42403846,5.556549961
2021-12-01 00:00:00,12.65391243,4.228377472,15.15,5.654038118
2022-01-01 00:00:00,11.89268142,4.681959679,16.44022436,5.537409056
2022-02-01 00:00:00,11.75885829,5.424774299,8.583333333,5.197917795
2022-03-01 00:00:00,11.38707584,5.268632435,15.31666667,4.987288599
2022-04-01 00:00:00,13.67868052,5.644786402,15.4340812,4.732980978
2022-05-01 00:00:00,12.46035226,5.176218112,15.55149573,4.960875078
2022-06-01 00:00:00,14.57945076,4.745740575,11.31608974,5.032582998
2022-07-01 00:00:00,12.64819846,4.565270904,17.62509615,5.371471428
2022-08-01 00:00:00,13.87491252,4.870691028,24.93386752,5.142540787
2022-09-01 00:00:00,11.48439267,5.302990301,16.37709402,5.2244
2022-10-01 00:00:00,11.71706949,4.974046283,14.83333333,5.263059934
2022-11-01 00:00:00,13.05827514,5.249421437,14.08564103,5.273649953
2022-12-01 00:00:00,12.52742227,5.422270739,13.04564103,5.243231773
2023-01-01 00:00:00,12.33196001,5.118613166,19.90615385,5.201767054
2023-02-01 00:00:00,13.50220673,5.303516034,26.76666667,5.168007588
2023-03-01 00:00:00,14.32427393,5.004099465,17.40119963,5.209082645
2023-04-01 00:00:00,14.1770169,5.219039189,18.02246642,5.01816504
2023-05-01 00:00:00,12.24536615,5.200085036,18.64373321,4.975239152
2023-06-01 00:00:00,13.35339021,4.914533862,19.265,4.859315352
2023-07-01 00:00:00,12.83645945,5.071766369,14.63470812,4.803414254
2023-08-01 00:00:00,13.55553958,5.207309541,18.75401294,4.89735651
2023-09-01 00:00:00,11.93085788,5.154437375,12.225,4.942490464
2023-10-01 00:00:00,12.7839149,4.864847643,12.57721655,5.057842298
2023-11-01 00:00:00,12.90619447,5.232305592,14.66666667,4.89883891
2023-12-01 00:00:00,13.19930495,4.900688638,16.54277477,4.897270929
2024-01-01 00:00:00,13.11661723,5.725640656,14.44705882,4.906248196
2024-02-01 00:00:00,14.3745614,5.576336943,13.94217282,4.956599099
2024-03-01 00:00:00,14.04326277,5.203146986,21.13333333,4.976608935
2024-04-01 00:00:00,12.93155269,5.19695992,12.85,5.116809108
2024-05-01 00:00:00,13.27120846,4.857035537,13.91910256,5.136611317
2024-06-01 00:00:00,13.30183846,4.661421571,12.92524217,5.373718357
2024-07-01 00:00:00,11.83190031,4.685166029,12.8,5.535761045
2024-08-01 00:00:00,14.21400555,4.91587087,14.70769231,5.55487273
2024-09-01 00:00:00,11.71151049,5.144918689,10.27363636,5.549722376
2024-10-01 00:00:00,12.39631352,4.73552613,13.3025641,5.604752727
2024-11-01 00:00:00,12.66023007,4.570709779,11.40416667,5.783444087
2024-12-01 00:00:00,10.94996887,4.580505992,10.01640185,6.098622691
2025-01-01 00:00:00,9.774890931,5.173731143,13.3,6.0306574
